comment,full_comment,negative,neutral,positive,compound,sentiment
"just rewatched this in IMAX 
it’s amazing","just rewatched this in IMAX 
it’s amazing",0.0,0.612,0.388,0.5859,Positive
This is the best trailer for this movie. Although it doesn't convey the magic of it. But it doesn't ...,This is the best trailer for this movie. Although it doesn't convey the magic of it. But it doesn't SPOIL. I hated the other trailers that spoiled so much.,0.0,0.791,0.209,0.7993,Positive
Sinners 2 movie,Sinners 2 movie,0.0,1.0,0.0,0.0,Neutral
Sinners hindi dub,Sinners hindi dub,0.0,1.0,0.0,0.0,Neutral
I came from godfrey interview with big boy 😅,I came from godfrey interview with big boy 😅,0.0,0.815,0.185,0.3612,Positive
Melhor filme de todos os tempos ❤,Melhor filme de todos os tempos ❤,0.0,0.625,0.375,0.6369,Positive
"If anyone never seen this movie before - run to TV, turn off the light, take popcorn and enjoy this ...","If anyone never seen this movie before - run to TV, turn off the light, take popcorn and enjoy this masterpiece movie about vampires ever made. Seriously, this is the only serious and stylish vampire horror movie appeared in last maybe 26 years. Big thanks to all those people who made this movie. You work are became real art.",0.095,0.75,0.155,0.7411,Positive
Good movie,Good movie,0.0,0.256,0.744,0.4404,Positive
I thought this film was excellent in almost every way........except for the introduction of vampires...,"I thought this film was excellent in almost every way........except for the introduction of vampires, which is not an interesting concept to me in the slightest. If the makers had swapped that for some other supernatural element - demonic spirits or something - it would have carried all the way through.",0.041,0.892,0.067,0.3489,Positive
"I bought this on Prime, and it's a great film. A little confused about where everything was going, a...","I bought this on Prime, and it's a great film. A little confused about where everything was going, and hurried thru the vampire attack, but looks and sounds good. Wife also had her Michael B Jordan fix ticked 🙃",0.149,0.719,0.132,0.0378,Neutral
"I do not recommend for this move. 
The main thing they don't show in the trailer is that it's a vamp...","I do not recommend for this move. 
The main thing they don't show in the trailer is that it's a vampire movie. As soon as the movie moves in that direction, its level drops.",0.06,0.94,0.0,-0.2755,Negative
Cool,Cool,0.0,0.0,1.0,0.3182,Positive
"Jordan Peele meets From Dusk to Dawn.  

Perfect.","Jordan Peele meets From Dusk to Dawn.  

Perfect.",0.0,0.654,0.346,0.5719,Positive
"Todd Bowles, Sam Darnold, Mac Jones, Geno Smith, Rico Dowdle, Steffon Diggs, Trevon Diggs, Josh Alle...","Todd Bowles, Sam Darnold, Mac Jones, Geno Smith, Rico Dowdle, Steffon Diggs, Trevon Diggs, Josh Allen",0.0,1.0,0.0,0.0,Neutral
C-71,C-71,0.0,1.0,0.0,0.0,Neutral
"This one hit me ,like  nothing had in a while","This one hit me ,like  nothing had in a while",0.0,0.783,0.217,0.3612,Positive
I snapped along to Sammie's song. I whistled clapped and dance. This movie literally moved me. Pheno...,"I snapped along to Sammie's song. I whistled clapped and dance. This movie literally moved me. Phenomenal. Sheerly magical. Like Sammie's voice. 
Love from India❤",0.0,0.688,0.312,0.8979,Positive
Nice movie,Nice movie,0.0,0.263,0.737,0.4215,Positive
A year ago??? How am I just finding out about this movie?!,A year ago??? How am I just finding out about this movie?!,0.0,1.0,0.0,0.0,Neutral
The Dolby Atmos in this is NICE.,The Dolby Atmos in this is NICE.,0.0,0.629,0.371,0.5473,Positive
Another wakanda movie 😂,Another wakanda movie 😂,0.162,0.513,0.325,0.4404,Positive
16 Oscar?,16 Oscar?,0.0,1.0,0.0,0.0,Neutral
2 brothers battle vampires at a bar?  George Clooney and Quentin Tarantino did that about 30 years a...,2 brothers battle vampires at a bar?  George Clooney and Quentin Tarantino did that about 30 years ago in From Dusk Till Dawn.,0.106,0.894,0.0,-0.3818,Negative
Film looks a bit ''dark'' for my taste .,Film looks a bit ''dark'' for my taste .,0.0,1.0,0.0,0.0,Neutral
Thank god I’ve got a habit of not watching trailers before movies. Amazing film,Thank god I’ve got a habit of not watching trailers before movies. Amazing film,0.0,0.567,0.433,0.8126,Positive
Robert Johnson crossroads meets The Lost Boys,Robert Johnson crossroads meets The Lost Boys,0.277,0.723,0.0,-0.3182,Negative
Looks like supernatural serie i like,Looks like supernatural serie i like,0.0,0.444,0.556,0.6124,Positive
I'm the only one .....here after the 16 Academy Oscar nominations ... from India 🇮🇳,I'm the only one .....here after the 16 Academy Oscar nominations ... from India 🇮🇳,0.0,1.0,0.0,0.0,Neutral
This movie is EPIC. It will get many oscars. Wow!!!,This movie is EPIC. It will get many oscars. Wow!!!,0.0,0.658,0.342,0.6884,Positive
Best movie ever!!! Pleasantly surprised 😳,Best movie ever!!! Pleasantly surprised 😳,0.0,0.284,0.716,0.8772,Positive
"WAAAH WAAAH WAAAH WAHHH!
Must be a good movie.
WAAAH WAHH WAAAAH!!!!","WAAAH WAAAH WAAAH WAHHH!
Must be a good movie.
WAAAH WAHH WAAAAH!!!!",0.0,0.73,0.27,0.6209,Positive
Josh Allen must hate this movie,Josh Allen must hate this movie,0.425,0.575,0.0,-0.5719,Negative
Film cu vampirisa ia Oscarul? Rău am ajuns!,Film cu vampirisa ia Oscarul? Rău am ajuns!,0.0,1.0,0.0,0.0,Neutral
This looks awesome! I love jack o'connell,This looks awesome! I love jack o'connell,0.0,0.368,0.632,0.8622,Positive
They are getting Paddys Goat,They are getting Paddys Goat,0.0,1.0,0.0,0.0,Neutral
❤🎉,❤🎉,0.0,0.225,0.775,0.7845,Positive
Watched it last night. Great masterpiece,Watched it last night. Great masterpiece,0.0,0.328,0.672,0.8481,Positive
Me have fe 😂😂… I would love to see the twins live prior to Sinners 💯 🤞🏿…,Me have fe 😂😂… I would love to see the twins live prior to Sinners 💯 🤞🏿…,0.098,0.696,0.206,0.7351,Positive
That last line right there by Delroy Lindo earned him that Oscar nom!,That last line right there by Delroy Lindo earned him that Oscar nom!,0.0,1.0,0.0,0.0,Neutral
Does this remind anyone of GET OUT? Black director/writer in a horror movie.,Does this remind anyone of GET OUT? Black director/writer in a horror movie.,0.236,0.764,0.0,-0.5719,Negative
I always knew this film had immense potential. Congratulations to everyone involved in Sinners for s...,I always knew this film had immense potential. Congratulations to everyone involved in Sinners for securing a record-breaking 16 Oscar nominations!🎉❤,0.0,0.611,0.389,0.9245,Positive
I mean...i watched it months ago and it really wasn't anything special imo🤷‍♀️Im actually here cuz i...,"I mean...i watched it months ago and it really wasn't anything special imo🤷‍♀️Im actually here cuz i had to look up the trailer to see if it was the same one i watched after hearing about all this Academy Nominee business cuz i thought...""no way it cant be the same one""...it is & i still dont understand it🤣",0.036,0.919,0.045,0.1725,Positive
Looks like they found the secret to making an Oscar winning vampire movie. The only other vampire mo...,"Looks like they found the secret to making an Oscar winning vampire movie. The only other vampire movie to win Oscars was ""Bram Stoker's Dracula"". Nosferatu, Dead by Dawn, The Lost Boys, From Dusk til Dawn, Interview With the Vampire, The Hunger..... Not a single academy award!",0.139,0.644,0.217,0.7088,Positive
"Weird movie to get all those oscar nominations, that's why I watched it.","Weird movie to get all those oscar nominations, that's why I watched it.",0.124,0.876,0.0,-0.1779,Negative
That looks 👀 SHI*,That looks 👀 SHI*,0.0,1.0,0.0,0.0,Neutral
U have to see what it represents each person the evil 😈 of the spirit Satan. Vampires r the tools of...,U have to see what it represents each person the evil 😈 of the spirit Satan. Vampires r the tools of Satan that sucks u dry and how the devil uses women to take a man down . Don’t take this movie at face value step back and look at what u r seeing.,0.163,0.735,0.102,-0.7351,Negative
Brilliant movie!!,Brilliant movie!!,0.0,0.186,0.814,0.658,Positive
So wtf is this movie about😅the is the second promotion video I watched and it adds more confusion th...,So wtf is this movie about😅the is the second promotion video I watched and it adds more confusion than explanation,0.219,0.698,0.083,-0.6232,Negative
I came here after all the Oscar’s noms to see he hype. And I don’t get it. Hard pass for me.,I came here after all the Oscar’s noms to see he hype. And I don’t get it. Hard pass for me.,0.065,0.935,0.0,-0.1027,Negative
I’ve only watched the trailer and I'm bored. What’s all the fuss?,I’ve only watched the trailer and I'm bored. What’s all the fuss?,0.16,0.84,0.0,-0.2732,Negative
I tried watching this movie but couldn't make out much of the dialog.  I can hear well enough but th...,"I tried watching this movie but couldn't make out much of the dialog.  I can hear well enough but the mumbling slang was indecipherable to me.  I grew up with English and speak three languages reasonably well but the lingo here was as hard to follow as deep south Bavarian, Cockney, a Scottish brogue or Newfie English. If the southern accents are authentic, that's perhaps as it should be, but I found this movie unwatchable.  It might be worth another attempt when a subtitled version becomes available.",0.017,0.9,0.083,0.7227,Positive
"These trailers do show too much, thankfully I didn't see them first - I didn't even know it was a ho...","These trailers do show too much, thankfully I didn't see them first - I didn't even know it was a horror flick. who's jealous now!",0.22,0.692,0.088,-0.636,Negative
Sinners break the oscars history ❤,Sinners break the oscars history ❤,0.0,0.588,0.412,0.6369,Positive
"15B$ in his own bank account, he is delighted.","15B$ in his own bank account, he is delighted.",0.0,0.708,0.292,0.5106,Positive
Anyone 🇮🇳 here ❤,Anyone 🇮🇳 here ❤,0.0,0.488,0.512,0.6369,Positive
"Great trick, many nominations to silence the critics but few awards","Great trick, many nominations to silence the critics but few awards",0.166,0.431,0.403,0.705,Positive
"Fake vampire stories are getting most Academy nominations, world is changing the wrong way, people l...","Fake vampire stories are getting most Academy nominations, world is changing the wrong way, people loose quality.",0.378,0.622,0.0,-0.8176,Negative
This trailer looks like bollywood. They have shown every twist  and turn it seems 😅,This trailer looks like bollywood. They have shown every twist  and turn it seems 😅,0.0,0.762,0.238,0.6124,Positive
Had to come rewatch the trailer. I had NO idea what this movie was about when I saw this in the thea...,"Had to come rewatch the trailer. I had NO idea what this movie was about when I saw this in the theatre, and MY GOD, I am glad I didn't see this trailer before. Went to see it in the VIP theatres blind on a $10 day in the mid-afternoon on a whim. LOL - was amazing, and look forward to seeing it again. Like someone else said below - this trailer gives EVERYTHING away.",0.061,0.726,0.213,0.9333,Positive
Finally an Oscar movie I actually want to watch,Finally an Oscar movie I actually want to watch,0.0,0.86,0.14,0.0772,Positive
After oscar nominations!! Is this horror movie? Zombies? Confusing,After oscar nominations!! Is this horror movie? Zombies? Confusing,0.508,0.492,0.0,-0.803,Negative
Who are all watching after Oscar announcement 😂😂😂,Who are all watching after Oscar announcement 😂😂😂,0.172,0.483,0.344,0.8271,Positive
Robert Johnson reference?,Robert Johnson reference?,0.0,1.0,0.0,0.0,Neutral
I've watched this film 3 times now and everytime I see more. Layers upon layers. Incredible film.,I've watched this film 3 times now and everytime I see more. Layers upon layers. Incredible film.,0.0,1.0,0.0,0.0,Neutral
"imma got too much trauma I need all the spoilers or i can't get thru a film like this, lol","imma got too much trauma I need all the spoilers or i can't get thru a film like this, lol",0.11,0.665,0.225,0.4497,Positive
N,N,0.0,1.0,0.0,0.0,Neutral
I'm glad that this movie got nominated for a Oscar.,I'm glad that this movie got nominated for a Oscar.,0.0,0.75,0.25,0.4588,Positive
"This trailer has me baffled. Idk what the plot is about. It looks like a combo of a period piece, mu...","This trailer has me baffled. Idk what the plot is about. It looks like a combo of a period piece, musical, historical drama, horror, gangster movie",0.167,0.752,0.082,-0.3818,Negative
Looks like Welcome to Derry to me,Looks like Welcome to Derry to me,0.0,0.476,0.524,0.6705,Positive
Why is a zombie flick knockoff getting 16 Oscar Nominations??? I guess the Oscars are like the Miche...,Why is a zombie flick knockoff getting 16 Oscar Nominations??? I guess the Oscars are like the Michelin Guides now! Industry sponsored and desperately looking for talent....Talent was there but the story line was as dumb as Hollywood comes these days...,0.151,0.811,0.037,-0.7455,Negative
"16 Oscar Nominations 

Absolutely Incredible","16 Oscar Nominations 

Absolutely Incredible",0.0,1.0,0.0,0.0,Neutral
16 Oscar nominations.   16,16 Oscar nominations.   16,0.0,1.0,0.0,0.0,Neutral
meh 6/10,meh 6/10,0.565,0.435,0.0,-0.0772,Negative
"Y'all,16 Oscar nominations. Even if it didn't win any Oscar at the end. That's a resounding validati...","Y'all,16 Oscar nominations. Even if it didn't win any Oscar at the end. That's a resounding validation of all involved in ""Sinners"" ❤😊",0.08,0.653,0.267,0.798,Positive
Who’s here after the 16 Academy nominations?,Who’s here after the 16 Academy nominations?,0.0,1.0,0.0,0.0,Neutral
Esto está nominado a 16 oscars?🤌🤌🤌🤌,Esto está nominado a 16 oscars?🤌🤌🤌🤌,0.0,1.0,0.0,0.0,Neutral
"True to its Title, Hollywood has lost entirely its moral compass, life reflecting film, film reflect...","True to its Title, Hollywood has lost entirely its moral compass, life reflecting film, film reflecting life.",0.114,0.746,0.139,0.128,Positive
Holy sh*t!! 16 noms🎉,Holy sh*t!! 16 noms🎉,0.0,0.604,0.396,0.508,Positive
Congratulations to the cast and crew for the Oscar Nominations today!!,Congratulations to the cast and crew for the Oscar Nominations today!!,0.0,0.69,0.31,0.6688,Positive
16 oscar nominations well deserved🎉🎉,16 oscar nominations well deserved🎉🎉,0.0,0.444,0.556,0.7579,Positive
Who's here after the film broke the record for most nominations at the Oscars? FREAKING 16!!!,Who's here after the film broke the record for most nominations at the Oscars? FREAKING 16!!!,0.34,0.66,0.0,-0.8025,Negative
The acting was good in this movie,The acting was good in this movie,0.0,0.674,0.326,0.4404,Positive
I wish I could go back to when I first saw this trailer in theaters.. I was hooked instantly just as...,I wish I could go back to when I first saw this trailer in theaters.. I was hooked instantly just as I am today .. I love this movie 🫡,0.0,0.802,0.198,0.7845,Positive
Bruh this trailer was so epic and didn’t give away too much,Bruh this trailer was so epic and didn’t give away too much,0.0,1.0,0.0,0.0,Neutral
The only musical movie I enjoyed,The only musical movie I enjoyed,0.0,0.602,0.398,0.5106,Positive
"I'm glad that I've watched this movie. After a long time, such a nice master piece in vampire genre....","I'm glad that I've watched this movie. After a long time, such a nice master piece in vampire genre... just wow.. ❤",0.0,0.579,0.421,0.93,Positive
⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,0.0,1.0,0.0,0.0,Neutral
💎💎💎💎💎,💎💎💎💎💎,0.0,1.0,0.0,0.0,Neutral
"🎊🎊🎊 "" Congratulations ""  🎊🎊🎊","🎊🎊🎊 "" Congratulations ""  🎊🎊🎊",0.0,0.782,0.218,0.5994,Positive
💜💜💜💜💜,💜💜💜💜💜,0.0,0.192,0.808,0.9719,Positive
I wish they left out all the vampire stuff. That would have hit people hard.,I wish they left out all the vampire stuff. That would have hit people hard.,0.082,0.76,0.158,0.3182,Positive
*SAMMIE!!*,*SAMMIE!!*,0.0,1.0,0.0,0.0,Neutral
"Are these the kind of Vampires who need permission to enter a house? Or ""real"" vampires?","Are these the kind of Vampires who need permission to enter a house? Or ""real"" vampires?",0.0,1.0,0.0,0.0,Neutral
I’m watch it tonight,I’m watch it tonight,0.0,1.0,0.0,0.0,Neutral
where to watch it ??,where to watch it ??,0.0,1.0,0.0,0.0,Neutral
I'll make a point of not seeing this.,I'll make a point of not seeing this.,0.0,1.0,0.0,0.0,Neutral
What I love a about this movie is the celtic vampires ate down singing. Beautiful.,What I love a about this movie is the celtic vampires ate down singing. Beautiful.,0.0,0.616,0.384,0.8442,Positive
This trailer has aura,This trailer has aura,0.0,1.0,0.0,0.0,Neutral
"White chick here who loves movies, but still very picky. I went to see it due to very positive unusu...","White chick here who loves movies, but still very picky. I went to see it due to very positive unusual reviews about the music. But the whole movie, script using history, directors, producers, actors, photography and all behind the scenes support, shows its a labor of love making a great movie. Hope it gets rereleased in a Dolby (special speakers for surround sound), even better would be Dolby IMAX. And yes the dance concert scene showing the brief history of humans with music should be part of every school's music curriculum.",0.0,0.686,0.314,0.9909,Positive
Amazing movie 🍿,Amazing movie 🍿,0.0,0.345,0.655,0.5859,Positive
2025 was a magnificent year for the cinephiles. This one is among the very top films which came out ...,"2025 was a magnificent year for the cinephiles. This one is among the very top films which came out that year. 
All the actors were sincerely great, the music was... hey, blues sang by Buddy Guy is god-tier! Loved Buddy's screen time. Epic film.
*January 3, 2026*",0.0,0.707,0.293,0.9544,Positive
Is this movie based on Robert Johnson the black musician that sold his soul to the devil,Is this movie based on Robert Johnson the black musician that sold his soul to the devil,0.216,0.784,0.0,-0.6597,Negative
"I think I saw to much, I dont need yo watch the movie.
He's brother is one of them
He's girlfriend o...","I think I saw to much, I dont need yo watch the movie.
He's brother is one of them
He's girlfriend or whatever, also turned out she's with them, so yeah the movie is great. Thanks for not wasting ting my time and also thanks for ruining the opportunity to watch the movie.",0.03,0.699,0.271,0.9415,Positive
White Man Bad.,White Man Bad.,0.636,0.364,0.0,-0.5423,Negative
Free but higher being strikes back. They call it AIDS.,Free but higher being strikes back. They call it AIDS.,0.243,0.597,0.16,-0.2732,Negative
He's picked because of Philadelphia.,He's picked because of Philadelphia.,0.0,1.0,0.0,0.0,Neutral
I like the movie. I liked it enough to say i like it. The one thing I found frustrating was the musi...,"I like the movie. I liked it enough to say i like it. The one thing I found frustrating was the music.  Now, I don't know if it was like this at the theatres, but on Prime, it seemed very muffled and unorganized. The scenes were loosely connected, and the back stories didn't really do much for the narrative. I like Michael B Jordan, but this wasn't his best effort. The story of vampires is a subject that's difficult to tie to the early 1920s time period. His attempt was a valiant effort indeed. I give it 2 1/2 out of 5. It's still a good movie to lose yourself in, if only for 125 minutes.",0.1,0.794,0.107,-0.2621,Negative
The eyes glowing reminds me of the rich European party where the lights went out. All rich elite peo...,The eyes glowing reminds me of the rich European party where the lights went out. All rich elite people.,0.0,0.618,0.382,0.872,Positive
ah spoiles,ah spoiles,0.0,1.0,0.0,0.0,Neutral
"Now, you got not excuse to call us waisis. A good movie is a good movie. This is a really good movie...","Now, you got not excuse to call us waisis. A good movie is a good movie. This is a really good movie. Tell a good story, entertain and that's all we ask for. Love this.",0.026,0.588,0.386,0.9529,Positive
Film of the year,Film of the year,0.0,1.0,0.0,0.0,Neutral
I’m still obsessed with this moviee,I’m still obsessed with this moviee,0.254,0.746,0.0,-0.1779,Negative
In my Opinion i think this is New Version of Spell Movie but its good,In my Opinion i think this is New Version of Spell Movie but its good,0.0,0.784,0.216,0.5927,Positive
why would you put that in the trailer?,why would you put that in the trailer?,0.0,1.0,0.0,0.0,Neutral
Nice to see old weapons like the Thompson and BAR making a appearance here,Nice to see old weapons like the Thompson and BAR making a appearance here,0.151,0.573,0.276,0.34,Positive
😂😂😂😂😂😂😂😂 2 huh,😂😂😂😂😂😂😂😂 2 huh,0.212,0.363,0.425,0.969,Positive
"loved the movie hated the trailer, every surprise spoiled","loved the movie hated the trailer, every surprise spoiled",0.259,0.37,0.37,0.2023,Positive
"I am low key obsessed with this movie. Combined my two favorite things : horror and delta blues.
Thi...","I am low key obsessed with this movie. Combined my two favorite things : horror and delta blues.
This movie is a masterpiece ❤️",0.217,0.578,0.205,0.1531,Positive
So glad I don't watch 2nd trailers anymore. Would have given some good scenes away. Just watched the...,So glad I don't watch 2nd trailers anymore. Would have given some good scenes away. Just watched the movie a 3rd time and now checking out the trailers,0.0,0.808,0.192,0.7346,Positive
Please telugu dubbed release...,Please telugu dubbed release...,0.0,0.566,0.434,0.3182,Positive
"Trying to divide the races..
We was kings & sh*t 😂😂😂","Trying to divide the races..
We was kings & sh*t 😂😂😂",0.158,0.526,0.316,0.8271,Positive
Sinners is from dusk till dawn 2 brothers music dancing and vampires Is called similar and reference...,Sinners is from dusk till dawn 2 brothers music dancing and vampires Is called similar and references.,0.0,1.0,0.0,0.0,Neutral
The best movie that i’ve ever seen las time,The best movie that i’ve ever seen las time,0.0,0.656,0.344,0.6369,Positive
Straight spoiled the movie💀,Straight spoiled the movie💀,0.0,0.678,0.322,0.2263,Positive
when you google the movie the clip WB shows makes it seem like the movie was about Hailee Steinfeld....,when you google the movie the clip WB shows makes it seem like the movie was about Hailee Steinfeld. Interesting decisions on the part of marketing.,0.0,0.822,0.178,0.6369,Positive
💜💜💜🤫,💜💜💜🤫,0.0,0.284,0.716,0.9274,Positive
Michael B Jordan and Ryan Coogler never dissapoint us.,Michael B Jordan and Ryan Coogler never dissapoint us.,0.0,1.0,0.0,0.0,Neutral
This was an enjoyable movie.  I highly recommend it,This was an enjoyable movie.  I highly recommend it,0.0,0.551,0.449,0.6901,Positive
I just watch this movies..my point of view this movies is about the old west vampire..,I just watch this movies..my point of view this movies is about the old west vampire..,0.0,1.0,0.0,0.0,Neutral
❤️‍🔥🔥❤️❤️‍🔥🔥❤️❤️‍🔥🔥❤️❤️‍🔥🔥❤️,❤️‍🔥🔥❤️❤️‍🔥🔥❤️❤️‍🔥🔥❤️❤️‍🔥🔥❤️,0.545,0.455,0.0,-0.9451,Negative
Wtf,Wtf,1.0,0.0,0.0,-0.5859,Negative
The voice the boy screams out is amazing!!!! Xo,The voice the boy screams out is amazing!!!! Xo,0.155,0.494,0.351,0.5815,Positive
This movie is a true masterpiece and im gald i got to see it brilliant story history was on point no...,This movie is a true masterpiece and im gald i got to see it brilliant story history was on point now its time for round 2 i know sinners can be the 1# Horror movie in American i have faith in it Lets Do It Smoke And Stack Brothers!!!,0.06,0.709,0.232,0.8928,Positive
Thank you trailer for giving us the entire plot of the movie. This is why you go in blind. But it wa...,Thank you trailer for giving us the entire plot of the movie. This is why you go in blind. But it was a fantastic film that was worth seeing twice. And one of the few movies that I’ve bought in a long time!,0.036,0.747,0.216,0.8459,Positive
for how long you kept in Oven on what degrees,for how long you kept in Oven on what degrees,0.0,1.0,0.0,0.0,Neutral
Spoilers! Are you freaking serious? I don't want to watch this now. 🥹,Spoilers! Are you freaking serious? I don't want to watch this now. 🥹,0.36,0.64,0.0,-0.5594,Negative
The most exquisite film ever crafted. Absolute perfection.,The most exquisite film ever crafted. Absolute perfection.,0.0,0.654,0.346,0.5719,Positive
Just watched this today. It’s one of the greatest movies I’ve ever seen,Just watched this today. It’s one of the greatest movies I’ve ever seen,0.0,0.741,0.259,0.6369,Positive
"Cant they just say if its a monster movie, zombie movie, vampire movie, demon movie... seriously.","Cant they just say if its a monster movie, zombie movie, vampire movie, demon movie... seriously.",0.102,0.898,0.0,-0.1779,Negative
"It's so weird. I was born on October 16, 1992, creepy","It's so weird. I was born on October 16, 1992, creepy",0.166,0.834,0.0,-0.2484,Negative
"My brother said you really have to see this one.
Where is it on streaming?","My brother said you really have to see this one.
Where is it on streaming?",0.0,1.0,0.0,0.0,Neutral
Teaser itself  is spoiler,Teaser itself  is spoiler,0.4,0.6,0.0,-0.25,Negative
"Well done, something original & it’s good","Well done, something original & it’s good",0.0,0.354,0.646,0.743,Positive
"No entendi, por que los vampiros no podian entrar al club sin permiso?","No entendi, por que los vampiros no podian entrar al club sin permiso?",0.444,0.556,0.0,-0.7906,Negative
Loved the film. Best film of the year for me by a country mile & also had some From Dusk Till Dawn v...,Loved the film. Best film of the year for me by a country mile & also had some From Dusk Till Dawn vibes which was quite cool,0.0,0.692,0.308,0.8932,Positive
Sinners,Sinners,0.0,1.0,0.0,0.0,Neutral
Trailer definitely showed too much,Trailer definitely showed too much,0.0,0.597,0.403,0.4019,Positive
What's this movie about,What's this movie about,0.0,1.0,0.0,0.0,Neutral
This trailer showed everything! Movie was great but I wish I hadn’t watched the trailer first.,This trailer showed everything! Movie was great but I wish I hadn’t watched the trailer first.,0.0,0.687,0.313,0.75,Positive
this trailer shows everything,this trailer shows everything,0.0,1.0,0.0,0.0,Neutral
I’m so glad I didn’t watch the trailer,I’m so glad I didn’t watch the trailer,0.0,0.68,0.32,0.5095,Positive
I'm so glad I watched this movie without seeing any trailers. This trailer is very spoiler heavy.,I'm so glad I watched this movie without seeing any trailers. This trailer is very spoiler heavy.,0.0,0.829,0.171,0.5095,Positive
"Great movie of 2025, Micheal B Jordan, all the ways ❤","Great movie of 2025, Micheal B Jordan, all the ways ❤",0.0,0.546,0.454,0.8519,Positive
I can't believe how f**king good this movie is,I can't believe how f**king good this movie is,0.0,0.734,0.266,0.4404,Positive
best movie of the year,best movie of the year,0.0,0.488,0.512,0.6369,Positive
THAT TESTTUBE BABY,THAT TESTTUBE BABY,0.0,1.0,0.0,0.0,Neutral
TAMLA TANETTE MOORE IS THE MOST HIGH AND UNSTOPPABLE TOO 🌎 WE ARE ABORIGINAL DESCENDANTS OF MOUND BU...,TAMLA TANETTE MOORE IS THE MOST HIGH AND UNSTOPPABLE TOO 🌎 WE ARE ABORIGINAL DESCENDANTS OF MOUND BUILDERS 🪦 ASE HEKA AMEN RA AHO MOORE NATION GRAND RISING KARMA REST IN PEACE 🪦 PRAISE YE JAH 🪦 LAND BACK 🪦,0.064,0.707,0.229,0.8703,Positive
So glad I decided to watch this ❤,So glad I decided to watch this ❤,0.0,0.483,0.517,0.8173,Positive
"Best trailer I've ever seen, awesome!","Best trailer I've ever seen, awesome!",0.0,0.318,0.682,0.8622,Positive
Jack O'Connell pulling of a great southern accent there. Young British lad from derby doing well and...,Jack O'Connell pulling of a great southern accent there. Young British lad from derby doing well and getting some recognition at last,0.0,0.763,0.237,0.7351,Positive
"Thank God I didn't watch the trailer before watching the movie, too many spoilers the trailer 😅","Thank God I didn't watch the trailer before watching the movie, too many spoilers the trailer 😅",0.0,0.705,0.295,0.7269,Positive
Movie of the year,Movie of the year,0.0,1.0,0.0,0.0,Neutral
Micheal B was 🔥🔥,Micheal B was 🔥🔥,0.615,0.385,0.0,-0.5859,Negative
We wuz sinnerz and shieeettt,We wuz sinnerz and shieeettt,0.0,1.0,0.0,0.0,Neutral
Wow cool 😮😮😮,Wow cool 😮😮😮,0.0,0.663,0.337,0.7269,Positive
Watch Sinners ita about my twin brothers being demons....the one in red told Kari (all of our busine...,Watch Sinners ita about my twin brothers being demons....the one in red told Kari (all of our business ) their life story and he was inspired. Then Go Watch Belly!! Nasir is Buns pretending to be sincere and Dmx is Playing tupac they were both my Husbands. This message is from Michael Jacksons daughter Akésha Im also Michael B Jordans ex,0.0,0.855,0.145,0.8264,Positive
holy fckn airball.,holy fckn airball.,0.0,1.0,0.0,0.0,Neutral
"thanks, we saw the whole movie","thanks, we saw the whole movie",0.0,0.633,0.367,0.4404,Positive
WOW! IMPRESSED!,WOW! IMPRESSED!,0.0,0.0,1.0,0.8168,Positive
I would like for you to take me to see this movie please. Fyi i purchased a lot a real estate in Cal...,I would like for you to take me to see this movie please. Fyi i purchased a lot a real estate in Cali id like for you to be the when i confirm the deeds of purchase. I have a few properties for (extended family that i met through tupac),0.0,0.835,0.165,0.7964,Positive
This movie really sits with me..and I’m trying to think of why it has had such an impact..I have wat...,This movie really sits with me..and I’m trying to think of why it has had such an impact..I have watched it twice and found a new movie going in the second time. It’s such a hit.,0.0,1.0,0.0,0.0,Neutral
Great movie I recommend,Great movie I recommend,0.0,0.233,0.767,0.765,Positive
I'm so glad I watched the movie without seeing the trailer or even knowing what the plot was about.,I'm so glad I watched the movie without seeing the trailer or even knowing what the plot was about.,0.0,0.845,0.155,0.5095,Positive
"Man I’m ngl the first half of the movie was dragged out but the last act made it up like crazy , wil...","Man I’m ngl the first half of the movie was dragged out but the last act made it up like crazy , wild wild movie can’t stop thinking about it I went into this completely blind",0.243,0.685,0.072,-0.7743,Negative
That's that voodoo right there,That's that voodoo right there,0.0,1.0,0.0,0.0,Neutral
"WOW, just WOW","WOW, just WOW",0.0,0.099,0.901,0.8769,Positive
"This trailer evokes hints of the emotional response I experienced while watching the movie.
Watch th...","This trailer evokes hints of the emotional response I experienced while watching the movie.
Watch the trailer, watch the movie twice, then watch the trailer again.",0.0,0.94,0.06,0.1531,Positive
Sucked,Sucked,1.0,0.0,0.0,-0.4588,Negative
1920s black movie with vampires.,1920s black movie with vampires.,0.0,1.0,0.0,0.0,Neutral
"I am only half way through this movie on Max, and it is even better than the trailer indicates.
This...","I am only half way through this movie on Max, and it is even better than the trailer indicates.
This isn't no quickie horror movie, this is nearly on the level of Interview with a vampire.",0.062,0.82,0.119,0.3203,Positive
meh. was ok,meh. was ok,0.289,0.222,0.489,0.2263,Positive
I watched this movie and for the first time in my life I’m with the Vampires .,I watched this movie and for the first time in my life I’m with the Vampires .,0.0,1.0,0.0,0.0,Neutral
Why am I not seeing this on my Netflix 😭😭,Why am I not seeing this on my Netflix 😭😭,0.323,0.677,0.0,-0.7351,Negative
